country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	48.48974896	51.01235592	52.86473753	57.36259785	60.01824739	62.36839945	64.35344086	65.92831514	66.97633136	68.06899953	69.35886635	71.25849802	73.30864295	74.72013946	2018
947	Sub-Saharan Africa	37.73990401	40.00521378	42.3168979	44.26095684	46.38185499	48.41365913	50.02178139	51.17061736	50.90278087	51.11221649	52.08323394	55.51584322	59.50242366	62.28672138	2018
1833	Northern Africa and Western Asia	44.24700038	47.7217186	50.71585954	53.84820648	56.72659922	60.07332389	63.67755751	66.50671301	68.47872759	70.32769099	71.8378254	73.49015488	74.67137581	75.73039971	2018
921	Central and Southern Asia	37.24122316	40.35200468	43.49347007	46.73045623	49.56283338	53.258797	55.88616544	57.98383866	60.53507974	62.95610945	65.06977141	67.08166829	69.38354938	70.89574765	2018
1832	Eastern and South-Eastern Asia	47.27895156	49.09145771	49.87617442	58.78622518	63.17405097	66.08912515	68.7466441	70.35477942	71.6656636	72.95444816	74.31155355	75.92669065	77.61567297	78.99094225	2018
1830	Latin America and the Caribbean	53.20909628	56.14613577	58.94288114	61.30354158	63.7748708	66.11800053	68.32068108	70.34413443	72.19788313	73.98008974	75.55475794	76.75910776	77.71467838	78.48714832	2018
927	Australia/New Zealand	72.2461515	73.52497201	74.21208103	74.37432089	75.27224784	76.97806789	78.27041401	79.07070035	80.42833762	81.40159505	82.57370617	83.51556683	84.22740515	84.97926096	2018
1835	Oceania (excluding Australia and New Zealand)	39.11233051	42.75521771	46.08907345	49.56781489	52.90525398	55.90355142	58.81445274	60.35007196	61.74713809	62.93506652	63.88078027	65.26157755	66.53361666	67.81617112	2018
1829	Europe and Northern America	67.55355462	70.6191978	72.51240079	73.51752891	74.42040589	75.39473813	76.17755996	77.03911219	77.46608173	77.93058576	78.57775152	79.70699223	80.91109907	81.57358493	2018
903	Africa	38.74686542	41.35626686	43.80828941	45.92424336	48.06929021	50.30188412	52.28786762	53.7445428	53.75172879	54.11821884	55.13429994	58.33891861	61.93018071	64.44118103	2018
935	Asia	43.20075015	45.55449139	47.43378707	53.87297898	57.49475903	60.47003018	63.00044184	64.97453952	66.74393868	68.44678348	70.12237754	71.96542011	74.01271481	75.49455654	2018
908	Europe	66.16122994	69.79097527	72.09155825	73.25035369	74.09991795	74.85059256	75.57558035	76.54039288	76.87333553	77.36218986	78.07693131	79.30259477	80.70741861	81.63321001	2018
904	Latin America and the Caribbean	53.20909628	56.14613577	58.94288114	61.30354158	63.7748708	66.11800053	68.32068108	70.34413443	72.19788313	73.98008974	75.55475794	76.75910776	77.71467838	78.48714832	2018
905	Northern America	71.80876218	73.02150829	73.71776502	74.32762627	75.46511361	77.20319284	78.11101027	78.55209412	79.19175915	79.5208013	79.96499991	80.88916753	81.57579816	81.63462339	2018
909	Oceania	61.48704589	64.25518126	66.15949744	67.51773808	69.31715226	71.26295395	73.01824886	74.02076056	75.36433134	76.24406951	77.23471067	78.42237178	79.37910656	80.45205299	2018
901	More developed regions	67.33327482	70.48025315	72.47456734	73.60346879	74.60148613	75.67734748	76.54408106	77.47360584	77.99557092	78.56065516	79.30744573	80.43827836	81.58542818	82.28610166	2018
902	Less developed regions	42.66435545	45.15516863	47.24066621	52.76616802	56.04505513	58.80048883	61.15073773	62.97660961	64.30729208	65.63708269	67.05206674	69.04058372	71.26131158	72.87375843	2018
941	Least developed countries	37.26395707	39.76845943	42.04700473	44.18542062	45.23563099	47.12489686	50.00097619	52.06693523	52.96032847	55.10321908	57.52167722	60.89820717	64.17281721	66.51951801	2018
934	Other less developed countries	43.47697389	45.95986281	48.01714852	54.09302295	57.79967262	60.79484889	63.11138615	64.89603316	66.41521681	67.67317943	68.93040969	70.66186302	72.68616072	74.16545838	2018
948	Less developed regions, excluding China	41.51198758	44.8396463	47.86902233	50.74580777	53.23093166	56.0262876	58.54487784	60.4263478	62.05033655	63.55469296	65.10898848	67.26135476	69.58804003	71.19014569	2018
1636	Land-locked Developing Countries (LLDC)	40.42901229	42.95174763	45.54551893	47.66475576	49.53522651	51.17576487	52.76633344	54.52456841	53.81877235	55.32042718	57.05949577	60.76886206	64.86810086	67.38779077	2018
1637	Small Island Developing States (SIDS)	50.65711352	54.23585322	57.26428331	59.82214327	62.0911836	63.82319506	65.59264361	67.1389651	68.37261642	69.73635205	70.89004316	72.21422975	73.34264358	74.46753508	2018
1503	High-income countries	67.43325508	70.13748747	71.73868949	72.92594964	74.1955529	75.71417161	77.00873816	78.12738422	79.16956717	80.1329888	81.14077373	82.17745014	82.97956965	83.5102775	2018
1517	Middle-income countries	44.51305219	47.04446984	49.06484878	54.68668286	57.87998316	60.57572511	62.84430833	64.59321859	65.86793818	67.05413409	68.29365474	70.13096045	72.24179196	73.75654874	2018
1502	Upper-middle-income countries	48.47220893	50.31645059	51.34986626	59.50893866	63.70193099	66.64857695	68.86379163	70.45188895	71.44200949	72.50774359	73.519783	75.05788168	76.89242784	78.29900986	2018
1501	Lower-middle-income countries	40.20713673	43.5330356	46.55948921	49.54684184	51.93607311	54.85940524	57.41085204	59.1668871	61.02684032	62.63023374	64.21773032	66.2737874	68.4584118	69.94504224	2018
1500	Low-income countries	36.52262898	39.09951614	41.26633763	43.55760445	45.88669604	47.96256994	49.80336337	51.67163671	52.02733554	53.46918608	55.72999592	59.21383194	62.93908056	65.3989614	2018
1518	No income group available	53.5577537	58.04933981	61.43130926	64.34449979	66.97278774	69.39425043	71.14648971	73.64228175	75.65333028	77.48853098	79.21167387	80.47405453	81.74569593	82.53933903	2018
910	Eastern Africa	38.69215347	41.32288306	44.09901215	46.04828988	47.77520187	49.28232149	50.05546783	51.14536216	49.73842747	51.32144564	53.28494675	57.74971355	62.9195373	66.20003222	2018
108	Burundi	40.59	42.09	43.61	45.12	45.83	47.72	48.69	49.76	48.41	48.85	52.88	56.95	60.68	62.8	2018
174	Comoros	40	42	44	46	48.59	50.76	53.91	56.89	59.4	60.85	61.24	62.51	64.5	65.76	2018
262	Djibouti	42.38	44.29	46.51	48.68	52.41	54.1	56.24	57.66	58.67	58.71	58.78	60.54	63.24	68.74	2018
232	Eritrea	35.39	38.09	41.63	43.7	45.88	47.6	49.01	50.21	52.65	55.73	58.79	62.74	65.55	67.96	2018
231	Ethiopia	35.39	38.09	41.63	43.7	45.06	45.8	45	47.67	49.64	52.21	54.96	60.63	65.51	67.88	2018
404	Kenya	44.37	46.85	50.5	53.17	55.98	58.37	60.67	60.8	58.34	54.37	53.89	60.28	65.17	68.5	2018
450	Madagascar	37.36	39.74	42.16	44.49	46.94	49.09	50.74	51.04	53.99	57.91	61.26	63.66	66	68.1	2018
454	Malawi	34.69	35.92	37.46	38.79	41.41	43.79	46.04	47.54	48.65	48.24	48.04	54.02	62.51	66.57	2018
480	Mauritius	51.5	57.62	62.99	65.03	66.29	69.96	71.82	72.52	74.05	74.2	75.45	76.25	77.74	78.25	2018
175	Mayotte	50.59	56.95	61.51	65.35	68.58	71.33	73.68	75.73	77.53	79.12	80.56	81.87	82.9	82.9	2018
508	Mozambique	35.99	39.12	41.73	42.18	43.08	44.44	44.71	45.96	47.86	50.02	51.93	53.29	56.79	62.85	2018
638	Reunion	50.59	56.95	61.51	65.35	68.58	71.33	73.68	75.73	77.53	79.12	80.56	81.87	82.9	83.75	2018
646	Rwanda	41.6	43.23	44.82	45.99	46.47	47.61	51.67	50.16	23.29	45.99	51.37	61.49	67.64	70.51	2018
690	Seychelles	65.26	66.31	67.38	69.1	71.17	72.84	74.03	74.84	75.88	76.25	76.19	76.55	77.01	77.27	2018
706	Somalia	35.5	37.53	39.52	41.55	43.48	45.37	47.09	47.96	46.53	51.42	53.1	54.8	56.51	58.66	2018
