country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
900	World	8210112.9355	8604647.4885	8979816.7486	9328405.6111	9656307.7952	9960753.8661	10242821.5454	10504269.1614	10747235.4446	10967708.354	11170356.6769	11357030.6153	11537174.6262	11707524.0233	11858489.3003	11997744.6416
947	Sub-Saharan Africa	1245996.4104	1412000.4958	1591173.2893	1782367.0767	1984149.2968	2194533.6367	2412337.0773	2634245.8293	2862058.2356	3090977.69	3320351.8526	3548096.569	3774979.3676	3993504.141	4207354.0158	4418270.7965
1833	Northern Africa and Western Asia	571641.0876	614874.1951	656909.5704	698592.6193	739986.6289	779985.3786	818151.281	853786.6023	887786.0904	919751.9773	949730.9302	978488.6408	1006212.8419	1031955.9653	1054790.9406	1076614.2332
921	Central and Southern Asia	2141827.004	2260596.6572	2370532.6302	2467926.6154	2553381.0198	2627434.4227	2694556.8597	2749445.812	2792093.0074	2825017.1684	2847712.2251	2862456.4215	2870586.0568	2872926.3229	2874407.7647	2869149.6675
1832	Eastern and South-Eastern Asia	2404512.7322	2447685.0232	2474782.0733	2488304.0238	2489643.0024	2480154.235	2461573.5304	2435610.1487	2405771.6164	2374272.6975	2340500.9872	2307908.4335	2277040.4768	2250297.8813	2224990.3327	2201867.2002
927	Australia/New Zealand	32084.1584	33774.707	35391.4517	36923.5013	38426.2413	39943.2564	41442.0869	42957.3421	44439.0001	45946.6288	47445.1779	48915.2095	50432.4283	52046.4518	53603.6935	55290.2574
1835	Oceania (excluding Australia and New Zealand)	13555.7906	14826.233	16133.4951	17470.9394	18831.0857	20213.3624	21608.7624	23041.5053	24489.6671	25923.3886	27365.6765	28824.8957	30254.3491	31646.9434	32989.4601	34338.3772
1829	Europe and Northern America	1128316.0328	1137541.7442	1144996.3359	1150167.7766	1153366.7898	1154899.2049	1155558.0335	1156241.495	1157571.6887	1159965.7465	1163817.0773	1168413.6984	1174432.5991	1181680.6605	1190771.8976	1200086.0189
903	Africa	1514572.1326	1701968.3262	1903099.9825	2116472.902	2340203.648	2571947.3718	2810536.8383	3052687.521	3298674.3646	3544551.0127	3790194.2623	4033626.0457	4272758.6126	4510289.0257	4734208.0888	4950494.5509
935	Asia	4843576.5022	5019259.1405	5169129.1649	5290990.2378	5384222.1249	5458642.287	5509990.8654	5544377.5655	5558911.6937	5556176.4888	5541508.4611	5521008.9311	5488885.9017	5461463.7578	5429495.7127	5391752.2967
908	Europe	747413.4463	744632.4674	740216.0364	734737.9846	728519.732	721522.4228	713254.5096	704395.4028	695609.5591	687683.98	681361.8568	676750.1936	674269.9926	672520.8489	671849.7694	671191.1624
904	Latin America and the Caribbean	685133.4805	713402.8487	737857.1899	758304.9681	774924.9194	788021.1642	798297.643	805290.527	809108.6865	809771.7882	807480.2945	802845.9713	796609.0024	789118.6308	780531.2468	771352.9769
905	Northern America	381751.8653	394648.7525	407300.3464	418936.5253	429451.8568	439203.2608	448919.4624	459407.8821	470840.8854	482387.2402	493444.1874	504194.268	514557.687	525292.6098	536601.0198	548399.0117
909	Oceania	45573.1375	48440.066	51280.7396	54039.1728	56779.5416	59505.1042	62227.6485	64914.2443	67634.6419	70376.6769	73085.2664	75732.5724	78336.0102	80890.9301	83514.4355	86229.647
901	More developed regions	1284378.1002	1292168.6747	1297573.9368	1300309.2105	1301154.0918	1300456.0143	1298832.0464	1296818.2124	1295639.9452	1295705.4908	1296816.6698	1299983.4705	1305110.5761	1311831.0946	1319862.76	1328279.5118
902	Less developed regions	6927411.2433	7316333.8237	7687467.9558	8036022.8076	8366674.3687	8671962.6259	8960390.0052	9223032.7	9470088.0187	9698279.2806	9905206.2315	10095893.7363	10274462.9785	10440047.5713	10587517.9789	10725078.4149
941	Least developed countries	1186881.1678	1324693.2891	1469678.974	1621396.5205	1777580.0777	1938012.5278	2101699.5272	2266322.6459	2431124.0945	2595231.5403	2757050.2205	2914596.8331	3067760.7592	3215809.062	3358625.3125	3496856.9677
934	Less developed regions, excluding least developed countries	5742169.6309	5996169.0602	6226441.946	6429421.7831	6604864.5214	6761430.8978	6893901.1515	7010360.3438	7105820.5637	7182772.6078	7248220.2254	7300713.6283	7343109.4829	7385992.3593	7426216.7535	7449004.6522
948	Less developed regions, excluding China	5433671.6419	5812027.2042	6183353.895	6543372.8775	6889691.49	7221807.7864	7542237.3203	7841751.8911	8124466.1412	8388812.5576	8629506.9122	8850742.3875	9054504.9074	9245874.212	9419583.3262	9575910.4377
1636	Land-locked Developing Countries (LLDC)	597791.8662	665421.129	736075.733	809307.6995	884229.2482	960194.3803	1036526.7636	1111877.8	1186658.6335	1260301.7842	1331622.2731	1398642.7936	1463621.909	1523744.4023	1581179.9993	1635016.5679
1637	Small Island Developing States (SIDS)	75728.8294	79173.4256	82276.1785	85140.6285	87661.1785	89907.0567	91916.648	93688.7676	95299.5434	96669.9956	97835.4171	98813.7491	99646.3412	100222.4415	100638.2812	100981.8793
1503	High-income countries	1285677.7698	1304994.2264	1321038.9507	1332778.237	1340617.5126	1345430.8507	1348247.1718	1350032.4937	1352206.4679	1354464.1724	1358019.7878	1362052.1583	1366895.6997	1373118.942	1380787.9402	1389574.086
1517	Middle-income countries	6038446.663	6301886.1002	6543924.2481	6760611.7119	6951689.1168	7123153.2127	7273719.9841	7405061.4026	7513786.8543	7611007.8307	7691481.4611	7763762.0612	7828354.0088	7882203.3794	7940958.8403	7988743.6315
1502	Upper-middle-income countries	2727898.0375	2784704.6978	2824572.5123	2851596.3904	2866284.1966	2869729.6404	2861590.6549	2845054.6511	2821564.0465	2794032.3318	2763922.9342	2732959.331	2702468.7419	2675299.8473	2650426.101	2626917.9162
1501	Lower-middle-income countries	3314610.041	3527207.0245	3734117.7833	3929258.7037	4115421.8283	4290508.6532	4457849.5466	4611496.7103	4757451.8701	4888982.5316	5009742.226	5121624.4332	5226339.4879	5325314.024	5413425.8671	5497948.4247
1500	Low-income countries	885968.6816	1002461.3325	1124955.504	1253506.2127	1387462.0534	1526137.1505	1667406.7794	1811387.9302	1955849.3431	2098349.101	2238964.134	2378061.0958	2511485.0378	2640751.276	2764645.9713	2882717.1017
1518	No income group available	3128.8745	3315.8341	3499.663	3672.8572	3830.8421	3977.6405	4118.1137	4254.0198	4388.3619	4522.0997	4655.4404	4791.38	4916.6306	5031.9868	5143.0211	5240.0396
910	Eastern Africa	508257.4805	576923.2803	650370.6801	727670.4959	808011.1788	891228.0969	976478.4458	1063835.8104	1152367.6187	1240464.3889	1328259.4134	1415288.7078	1500420.5725	1582665.0581	1664539.6057	1742563.667
108	Burundi	13888.4129	16104.4382	18570.945	21301.7203	24311.216	27642.8452	31239.712	35066.6904	39156.1991	43473.1196	48106.1841	52847.8913	57941.3599	63204.7238	68600.0806	74249.7845
174	Comoros	975.1868	1087.2231	1205.3798	1330.4261	1460.4922	1595.8429	1734.5888	1879.0794	2027.3013	2174.6588	2325.7875	2478.1732	2627.3865	2780.4238	2928.4917	3079.5677
262	Djibouti	1066.2185	1139.7529	1207.5974	1271.3959	1331.857	1389.9485	1444.0836	1493.5188	1536.8754	1572.8955	1603.6695	1634.3944	1664.333	1689.1915	1712.3331	1733.8538
232	Eritrea	3907.7379	4338.8649	4839.9696	5384.1371	5951.7526	6532.0796	7125.2778	7743.0766	8379.0316	9024.0861	9674.7047	10310.0882	10934.4443	11550.0716	12173.5788	12774.7889
231	Ethiopia	131286.2506	148784.3873	166996.6906	185860.0354	205494.5994	225923.1474	246521.2653	267685.9253	288581.8597	309201.2727	329507.618	348882.8016	368512.5414	386047.5468	403453.7779	419690.9658
404	Kenya	60658.3788	68072.4054	75834.2568	83736.0121	91600.1826	99725.0552	108039.0664	116286.4412	124527.8469	132685.5098	140912.9179	148852.4232	156685.1579	164017.2855	171124.1669	177983.4915
450	Madagascar	31879.7516	36501.3916	41526.9338	46903.7975	52743.0877	59087.3872	65934.9228	73304.4293	80949.9657	89077.6974	97648.7893	106443.8141	115734.0372	125433.3923	135129.8813	144829.2736
454	Malawi	22123.1412	25508.7803	29222.2226	33191.1069	37507.0531	42148.141	47073.717	52251.0539	57561.6477	63092.7892	68921.4538	74812.2874	80786.9814	86728.7763	92691.1799	98938.6975
480	Mauritius	1285.9472	1295.9572	1298.894	1292.8012	1278.0389	1257.4695	1234.8308	1214.6413	1194.5554	1172.8534	1149.0006	1123.0654	1096.4036	1071.3918	1049.6536	1030.403
175	Mayotte	309.9754	350.1756	393.6026	438.764	484.6664	530.92	577.9774	625.1914	672.7137	720.2306	766.2689	811.552	855.4676	896.242	935.5828	971.7413
508	Mozambique	36365.9985	42160.8319	48679.8837	55920.5211	63857.4871	72476.6268	81950.223	92197.8024	103132.1103	114413.1098	126685.7806	139121.5104	152079.6742	165660.5536	179518.3136	194027.5407
638	Reunion	933.4263	969.6267	1002.1477	1028.8175	1049.4316	1064.7749	1076.0764	1085.3471	1093.096	1101.9412	1110.2948	1115.884	1121.2563	1123.257	1122.1339	1121.1674
646	Rwanda	14735.0364	16589.2679	18520.8134	20548.3414	22666.4715	24805.7289	26982.5991	29204.2996	31412.0274	33540.3938	35627.4849	37586.9957	39444.2152	41200.4721	42774.5677	44299.5585
690	Seychelles	101.3495	103.8121	106.06	107.975	109.5111	110.4545	111.0264	111.2941	111.5722	112.1302	112.6306	113.2835	114.0144	114.6072	115.0127	115.1317
706	Somalia	18538.5577	21609.4719	25069.0231	28912.8004	33194.8437	38013.9818	43390.236	49229.574	55588.1952	62359.5841	69587.8863	77270.7791	85415.0948	93909.1467	103144.6227	112354.2675
728	South Sudan	12587.0654	14162.3253	15920.9565	17777.1749	19768.4513	21847.0632	24065.323	26380.0701	28796.0911	31296.3357	33788.5634	36293.6084	38780.9064	41323.316	43902.3813	46500.9477
800	Uganda	52910.4063	61042.8322	69957.8424	79454.1866	89454.9224	99955.6799	110781.7779	121773.8179	132956.7364	144378.4024	155580.6645	166662.1638	177778.7141	188291.4351	198024.8802	207864.9414
834	United Republic of Tanzania	69598.7267	80830.4545	93532.6802	107705.7435	123272.1713	140533.6023	159477.9921	180000.1719	202707.5361	226937.4552	252968.5824	280698.0701	309678.0854	340687.5712	373449.7237	408772.0768
894	Zambia	21423.7214	24882.808	28744.7285	32973.371	37566.5724	42632.5854	48115.4761	54056.2031	60473.5015	67290.2252	74620.6877	82242.0445	90510.7474	98998.0208	107911.6329	117122.9184
