country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
900	World	8144338.437	8460181.353	8746075.104	8996326.372	9213147.814	9395987.618	9534888.714	9636945.648	9703998.152	9739506.207	9748469.081	9726358.974	9677671.043	9618931.924	9528971.955	9423928.789
947	Sub-Saharan Africa	1233912.265	1380958.692	1533436.355	1689096.667	1843952.097	1996827.466	2145840.159	2287417.001	2420404.103	2540053.084	2649972.519	2749934.672	2827760.494	2890905.035	2937528.273	2973181.728
1833	Northern Africa and Western Asia	564837.859	599931.456	632362.23	663180.025	691593.883	716163.723	735730.011	750904.27	762249.795	769543.888	772237.506	772257.754	769340.671	764075.78	754810.869	742659.366
921	Central and Southern Asia	2101903.707	2173274.83	2228372.356	2265956.606	2290253.849	2297135.009	2286650.554	2255845.515	2211546.911	2152733.78	2085251.106	2006720.301	1926578.367	1836134.326	1748374.249	1661842.795
1832	Eastern and South-Eastern Asia	2382515.719	2397397.104	2397351.921	2382042.86	2351482.932	2309080.696	2251502.191	2189475.112	2123389.23	2056753.753	1985357.655	1913937.75	1843698.928	1775613.96	1709633.675	1645728.678
1830	Latin America and the Caribbean	676920.798	695433.895	708793.153	717318.23	720912.905	720546.804	715740.413	707250.952	695158.191	679851.277	661900.589	641128.641	618673.493	595516.107	571613.198	546966.458
927	Australia/New Zealand	31582.457	32669.538	33571.776	34324.6	34946.268	35475.337	35931.096	36311.162	36589.189	36761.838	36861.247	36994.449	37090.381	37213.774	37360.704	37362.987
1835	Oceania (excluding Australia and New Zealand)	13283.541	14189.467	15038.186	15807.337	16505.872	17098.743	17567.113	17932.958	18175.282	18290.325	18341.677	18280.491	18131.201	17845.962	17526.308	17124.658
1829	Europe and Northern America	1121434.208	1123226.935	1122573.979	1119172.966	1113411.17	1105328.229	1095976.2	1085469.615	1074397.129	1063985.87	1054095.215	1044820.937	1036485.009	1028726.695	1021376.544	1013137.601
903	Africa	1500465.422	1667337.637	1838922.121	2013709.302	2189517.519	2361138.52	2526580.559	2684958.789	2830639.49	2964305.009	3083319.289	3191529.899	3277085.74	3351234.791	3407493.935	3435372.647
935	Asia	4790526.491	4902659.946	4983926.245	5033482.415	5050390.777	5036694.681	4994381.04	4924816.647	4831049.371	4719924.267	4593695.975	4457954.756	4315191.355	4169802.68	4018749.861	3873767.563
908	Europe	743339.141	736306.451	727512.204	717395.951	706234.498	693944.693	680307.174	665421.707	650322.918	635912.664	622428.417	610863.245	600714.427	591700.635	582797.86	573459.101
904	Latin America and the Caribbean	676920.798	695433.895	708793.153	717318.23	720912.905	720546.804	715740.413	707250.952	695158.191	679851.277	661900.589	641128.641	618673.493	595516.107	571613.198	546966.458
905	Northern America	376910.922	384265.375	390781.67	395803.498	399912.626	402992.194	405532.007	407926.329	410369.005	412077.918	413127.593	413039.121	412330.272	411381.316	409856.241	408838.089
909	Oceania	44970.13	47103.336	49061.993	50799.099	52368.744	53807.637	55110.954	56211.732	57148.165	57919.951	58491.515	58957.192	59167.559	59378.67	59442.672	59573.99
901	More developed regions	1277048.719	1276659.415	1273724.849	1267323.624	1258615.298	1248114.78	1235546.819	1221898.731	1207730.247	1193803.973	1180574.119	1169387.713	1159714.412	1150275.294	1140874.794	1131937.449
902	Less developed regions	6865121.639	7177587.379	7462333.73	7717213.778	7939111.707	8126494.295	8273059.978	8384269.188	8464335.27	8509309.853	8528605.261	8510497.384	8474041.381	8405904.819	8318896.281	8220052.921
941	Least developed countries	1175234.775	1296139.13	1419347.382	1543028.833	1664453.281	1782978.633	1896572.696	2001999.131	2098960.76	2188608.191	2263673.171	2329281.507	2382463.904	2423767.507	2450401.126	2468122.848
934	Less developed regions, excluding least developed countries	5687319.583	5875231.355	6031511.637	6155675.446	6243758.092	6303348.883	6324893.156	6315086.517	6275822.211	6212886.024	6133778.955	6033827.626	5919753.842	5789947.477	5663220.746	5521515.552
948	Less developed regions, excluding China	5379702.973	5692682.197	5986272.295	6258267.075	6506389.115	6725520.585	6914520.192	7065186.22	7186789.882	7277183.982	7332018.508	7359056.395	7357961.642	7337755.143	7291419.88	7219898.166
