country_code	name	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
900	WORLD	8113912.16	8363452.531	8556281.333	8716309.55	8836426.116	8906797.099	8921766.4	8882879.799	8798353.19	8675770.145	8519467.311	8331396.788	8113441.407	7869840.228	7604765.476	7322116.481
901	More developed regions	1271709.963	1261102.963	1244675.429	1225548.894	1203918.555	1179538.534	1151778.428	1120578.271	1087220.394	1053456.925	1020302.353	988082.01	956561.851	925485.267	894608.029	863763.523
902	Less developed regions	6842202.197	7102349.568	7311605.904	7490760.656	7632507.561	7727258.565	7769987.972	7762301.528	7711132.796	7622313.22	7499164.958	7343314.778	7156879.556	6944354.961	6710157.447	6458352.958
941	Least developed countries	1171783.01	1284241.451	1394631.752	1505607.886	1614007.243	1716323.786	1810081.673	1894062.301	1967630.899	2030024.505	2080256.502	2117315.698	2140486.303	2149962.81	2146536.638	2131444.065
934	Less developed regions, excluding least developed countries	5670419.187	5818108.117	5916974.152	5985152.77	6018500.318	6010934.779	5959906.299	5868239.227	5743501.897	5592288.715	5418908.456	5225999.08	5016393.253	4794392.151	4563620.809	4326908.893
948	Less developed regions, excluding China	5363365.715	5633697.486	5866503.231	6077890.287	6260314.818	6404670.135	6505056.945	6560623.276	6575226.015	6552451.039	6494935.438	6404169.487	6281394.066	6129807.116	5953303.707	5757188.512
1636	Land-locked Developing Countries (LLDC)	589878.855	644364.15	696902.035	749202.421	799530.081	845837.469	886949.767	922304.649	951767.785	974988.02	991556.232	1001242.045	1003994.478	1000016.063	989747.834	973849.272
1637	Small Island Developing States (SIDS)	74760.123	76759.752	78082.442	79042.114	79556.082	79540.062	78954.331	77850.47	76308.432	74411.165	72188.656	69662.152	66834.237	63754.466	60504.71	57159.496
1503	High-income countries	1272790.605	1273138.848	1266466.691	1255481.801	1240290.517	1220804.11	1196851.48	1168559.548	1137350.752	1105009.531	1072509.679	1040133.492	1007722.081	975226.48	942738.661	910464.759
1517	Middle-income countries	5963188.058	6114974.003	6219062.442	6293389.296	6333239.316	6332060.164	6286707.773	6199876.889	6079035.969	5930782.366	5759456.73	5567636.251	5358031.624	5134921.409	4901890.172	4661703.658
1502	Upper-middle-income countries	2695886.974	2706110.276	2693312.579	2666353.513	2624806.164	2567075.868	2492748.358	2404040.386	2305142.873	2200133.911	2091409.616	1980255.66	1868215.906	1756977.463	1647273.827	1538324.578
1501	Lower-middle-income countries	3267301.084	3408863.727	3525749.863	3627035.783	3708433.152	3764984.296	3793959.415	3795836.503	3773893.096	3730648.455	3668047.114	3587380.591	3489815.718	3377943.946	3254616.345	3123379.08
1500	Low-income countries	874843.363	972121.895	1067426.684	1164021.187	1259407.436	1350393.717	1434639.703	1510866.403	1578394.028	1636419.734	1683964.35	1720122.228	1744227.742	1756292.796	1756813.567	1746715.601
1518	No income group available	3090.134	3217.785	3325.516	3417.266	3488.847	3539.108	3567.444	3576.959	3572.441	3558.514	3536.552	3504.817	3459.96	3399.543	3323.076	3232.463
903	Africa	1496047.378	1652182.407	1809199.126	1970114.179	2130156.693	2283857.433	2427514.877	2558940.671	2677214.779	2781161.683	2869350.557	2940039.322	2991565.388	3023506.938	3036276.516	3031039.731
935	Asia	4780520.727	4865092.51	4904007.044	4913018.856	4890122.856	4831588.734	4736220.663	4607332.176	4452211.7	4277432.092	4087511.228	3885576.66	3674770.636	3459251.337	3242207.747	3025760.67
908	Europe	740196.707	727323.377	711013.199	693615.973	675124.311	655065.006	632866.511	608500.784	582967.989	557636.132	533377.74	510490.832	488864.136	468148.88	447818.715	427503.7
904	Latin America and the Caribbean	675478.167	689579.876	697020.047	700228.342	698892.152	692750.707	681576.05	665570.781	645283.734	621426.872	594593.429	565253.163	533923.009	501210.405	467781.284	434339.4
905	Northern America	376714.002	382360.181	386434.772	389184.109	390590.885	390782.659	389847.71	388050.021	385670.982	382780.618	379153.184	374590.173	369086.274	362846.12	356278.289	349670.906
909	Oceania	44955.179	46914.18	48607.145	50148.091	51539.219	52752.56	53740.589	54485.366	55004.006	55332.748	55481.173	55446.638	55231.964	54876.548	54402.925	53802.074
947	SUB-SAHARAN AFRICA	1230637.194	1370019.451	1511591.264	1657219.423	1802853.801	1943913.068	2077294.854	2200880.009	2313601.714	2414115.569	2500837.491	2571896.352	2625595.045	2661529.395	2680199.403	2682767.005
910	Eastern Africa	500777.269	556848.905	612718.505	669123.911	724626.041	777518.567	826501.033	870864.605	910263.611	944262.429	972348.507	993983.793	1008848.364	1016914.004	1018538.928	1014298.018
108	Burundi	13653.606	15459.603	17325.51	19302.7	21359.874	23438.801	25472.96	27416.988	29240.26	30936.678	32504.754	33914.942	35144.456	36162.717	36944.981	37491.393
174	Comoros	956.745	1040.18	1120.494	1200.208	1277.015	1347.646	1409.032	1460.429	1501.588	1533.035	1554.093	1563.914	1562.439	1549.575	1526.376	1494.261
262	Djibouti	1046.549	1091.612	1124.921	1151.184	1170.803	1183.149	1185.712	1177.002	1158.004	1131.032	1098.724	1062.829	1023.958	982.268	938.206	892.638
232	Eritrea	3832.39	4145.605	4481.837	4831.297	5171.053	5477.519	5742.151	5967.903	6156.976	6307.332	6411.93	6466.512	6469.63	6422.806	6331.106	6200.378
231	Ethiopia	128582.21	141628.952	153903.993	165777.038	177055.986	187298.65	196191.752	203500.46	209207.122	213276.898	215611.507	216224.484	215127.153	212418.356	208318.891	203042.049
404	Kenya	59405.056	64829.21	69961.157	74820.71	79228.531	83031.244	86164.747	88597.627	90337.056	91374.5	91709.446	91349.818	90316.495	88669.572	86500.845	83919.218
450	Madagascar	31216.566	34792.988	38366.809	42030.874	45703.564	49295.458	52712.021	55900.321	58845.084	61517.199	63865.464	65826.498	67366.696	68488.441	69190.623	69482.33
454	Malawi	21650.232	24252.24	26868.286	29517.895	32121.14	34599.592	36918.178	39030.975	40915.666	42530.895	43838.762	44816.236	45457.438	45763.379	45745.431	45432.109
480	Mauritius	1265.057	1244.389	1212.92	1174.435	1129.226	1078.725	1024.311	967.303	908.758	849.547	789.903	729.602	669.062	609.278	552.087	499.629
175	Mayotte	304.124	335.062	365.788	396.399	425.586	452.176	475.523	495.435	511.987	525.209	535.068	541.454	544.109	542.788	537.355	527.942
508	Mozambique	35669.616	40278.586	45022.117	49949.271	54901.609	59745.905	64374.233	68736.771	72764.925	76392.713	79571.732	82223.553	84306.499	85796.056	86714.024	87072.389
