country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.5072	2.4991	2.4707	2.435	2.4014	2.3754	2.3486	2.3183	2.2896	2.2622	2.2369	2.2184	2.1959	2.1764	2.1613	2.1397
947	Sub-Saharan Africa	4.5052	4.2606	4.0259	3.8105	3.628	3.4546	3.3045	3.1647	3.0443	2.9375	2.8451	2.7661	2.6837	2.6123	2.5576	2.4981
1833	Northern Africa and Western Asia	2.9085	2.8217	2.7388	2.6618	2.5883	2.5253	2.4751	2.433	2.3945	2.3574	2.321	2.2931	2.2673	2.2445	2.2264	2.2059
921	Central and Southern Asia	2.4732	2.4297	2.3763	2.3195	2.2643	2.2215	2.1909	2.1596	2.1437	2.1114	2.0893	2.067	2.0525	2.0432	2.0376	2.0228
1832	Eastern and South-Eastern Asia	1.9127	1.9487	1.9583	1.9557	1.963	1.9636	1.9608	1.9565	1.9554	1.9509	1.9499	1.9532	1.9531	1.9579	1.9567	1.9559
1830	Latin America and the Caribbean	2.0823	2.0567	2.0243	1.9896	1.9646	1.9533	1.9387	1.9271	1.9181	1.9095	1.904	1.8976	1.8986	1.8979	1.8993	1.9014
927	Australia/New Zealand	1.9736	1.9853	1.9867	1.9837	1.9837	1.9823	1.9819	1.9782	1.9783	1.9808	1.9798	1.9769	1.9802	1.9815	1.9829	1.9821
1835	Oceania (excluding Australia and New Zealand)	3.4949	3.4212	3.3418	3.2503	3.1606	3.0921	3.0262	2.9543	2.9007	2.8554	2.7973	2.75	2.6879	2.6429	2.5939	2.5614
1829	Europe and Northern America	1.7317	1.7725	1.8096	1.8315	1.8443	1.861	1.8781	1.8932	1.9009	1.9063	1.9117	1.915	1.9246	1.9293	1.9382	1.9363
903	Africa	4.2623	4.0468	3.8447	3.6527	3.4886	3.3367	3.2022	3.0748	2.9671	2.87	2.7881	2.7102	2.6302	2.5678	2.5122	2.4575
935	Asia	2.2115	2.2084	2.181	2.1356	2.1031	2.0813	2.0696	2.0472	2.0324	2.006	1.9924	1.9824	1.9723	1.9689	1.965	1.9584
908	Europe	1.6744	1.719	1.7609	1.792	1.8126	1.8269	1.8396	1.85	1.8626	1.8697	1.8812	1.8854	1.8894	1.8957	1.8999	1.9031
904	Latin America and the Caribbean	2.0823	2.0567	2.0243	1.9896	1.9646	1.9533	1.9387	1.9271	1.9181	1.9095	1.904	1.8976	1.8986	1.8979	1.8993	1.9014
905	Northern America	1.8724	1.9156	1.9471	1.9641	1.975	1.9954	2.0099	2.0137	2.0261	2.0288	2.0317	2.0391	2.0422	2.0445	2.0519	2.0503
909	Oceania	2.4497	2.4398	2.4136	2.3777	2.3485	2.3359	2.322	2.2981	2.2803	2.2597	2.2399	2.2219	2.1944	2.1748	2.1617	2.1464
901	More developed regions	1.7085	1.7483	1.7868	1.8099	1.8265	1.843	1.8607	1.875	1.8837	1.8896	1.8966	1.901	1.9087	1.917	1.9227	1.9238
902	Less developed regions	2.6228	2.6046	2.5663	2.5196	2.4738	2.4405	2.4077	2.3728	2.3409	2.3084	2.2787	2.2584	2.2337	2.2101	2.194	2.1694
941	Least developed countries	3.8463	3.6647	3.5046	3.3631	3.2336	3.1119	3.009	2.9128	2.8256	2.7453	2.6784	2.6208	2.556	2.4989	2.4541	2.4074
934	Less developed regions, excluding least developed countries	2.3688	2.3623	2.3368	2.2983	2.2648	2.2468	2.2308	2.2109	2.1911	2.1685	2.1528	2.1446	2.1361	2.1294	2.1184	2.1137
948	Less developed regions, excluding China	2.8247	2.7674	2.7022	2.6382	2.5782	2.5302	2.4871	2.4408	2.4003	2.3626	2.3275	2.3041	2.2725	2.2463	2.2252	2.2003
1636	Land-locked Developing Countries (LLDC)	3.7939	3.5875	3.4038	3.2493	3.1136	2.9781	2.8688	2.7678	2.6921	2.609	2.5409	2.4806	2.4297	2.3788	2.3424	2.3081
1637	Small Island Developing States (SIDS)	2.4864	2.4497	2.4168	2.387	2.3475	2.3177	2.2906	2.2637	2.2473	2.2241	2.2027	2.1875	2.1665	2.1512	2.1343	2.1214
1503	High-income countries	1.738	1.7666	1.7971	1.8134	1.8237	1.8391	1.8527	1.8655	1.8712	1.8777	1.8819	1.8868	1.8935	1.9014	1.905	1.9086
