country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.2787	2.1843	2.1189	2.0547	2.0006	1.9548	1.9197	1.8858	1.8537	1.8199	1.7926	1.7756	1.7412	1.7245	1.7035	1.6796
947	Sub-Saharan Africa	4.2272	3.8314	3.4775	3.1682	2.9149	2.7101	2.5335	2.3858	2.2777	2.1626	2.0705	1.9915	1.9091	1.8448	1.7916	1.7316
1833	Northern Africa and Western Asia	2.5714	2.3815	2.2269	2.1107	2.0056	1.9196	1.8447	1.7862	1.7346	1.6918	1.65	1.6157	1.5895	1.5584	1.5413	1.5262
921	Central and Southern Asia	1.9888	1.7806	1.6446	1.5406	1.4605	1.3952	1.3575	1.3103	1.2969	1.284	1.2715	1.2723	1.2716	1.2745	1.2948	1.3101
1832	Eastern and South-Eastern Asia	1.6671	1.6159	1.5978	1.5631	1.5437	1.5227	1.5026	1.499	1.4967	1.4955	1.4902	1.4956	1.4904	1.4956	1.4932	1.4949
1830	Latin America and the Caribbean	1.7658	1.6324	1.538	1.4655	1.4189	1.398	1.3855	1.3833	1.3883	1.3958	1.4178	1.4225	1.4335	1.4459	1.461	1.4708
927	Australia/New Zealand	1.5187	1.3748	1.2599	1.1902	1.1336	1.1035	1.094	1.1042	1.1169	1.1411	1.176	1.1944	1.2239	1.2343	1.2427	1.2537
1835	Oceania (excluding Australia and New Zealand)	2.9277	2.651	2.4212	2.2419	2.1038	1.9838	1.8726	1.7902	1.7056	1.6419	1.5964	1.5459	1.4906	1.4343	1.394	1.3733
1829	Europe and Northern America	1.5693	1.5552	1.5594	1.5593	1.5543	1.5559	1.561	1.5657	1.5678	1.5674	1.5712	1.5683	1.5676	1.5669	1.5681	1.567
903	Africa	3.9979	3.6516	3.3406	3.068	2.8421	2.655	2.4956	2.3615	2.251	2.1482	2.0608	1.9864	1.9083	1.843	1.7895	1.731
935	Asia	1.9058	1.7872	1.7121	1.6438	1.593	1.5488	1.5299	1.506	1.4939	1.4819	1.4723	1.4754	1.4692	1.4721	1.4813	1.4814
908	Europe	1.521	1.5173	1.5311	1.5434	1.5462	1.5508	1.56	1.5632	1.5694	1.5714	1.5779	1.5778	1.5834	1.5891	1.5897	1.5865
904	Latin America and the Caribbean	1.7658	1.6324	1.538	1.4655	1.4189	1.398	1.3855	1.3833	1.3883	1.3958	1.4178	1.4225	1.4335	1.4459	1.461	1.4708
905	Northern America	1.5763	1.5213	1.4929	1.4706	1.4516	1.4517	1.4416	1.4381	1.4349	1.4253	1.4251	1.4231	1.414	1.4194	1.4172	1.4041
909	Oceania	2.0622	1.9182	1.8131	1.7249	1.6602	1.615	1.5916	1.5715	1.5457	1.5338	1.5202	1.5065	1.4963	1.4718	1.464	1.46
901	More developed regions	1.5507	1.5394	1.546	1.5497	1.5483	1.5519	1.5576	1.5642	1.5669	1.5676	1.5703	1.5691	1.5735	1.5698	1.5716	1.5694
902	Less developed regions	2.3729	2.2585	2.1795	2.1047	2.0404	1.9863	1.9429	1.9053	1.8711	1.8336	1.8016	1.7788	1.7477	1.7274	1.7022	1.6766
941	Least developed countries	3.579	3.2742	3.0268	2.8175	2.6453	2.4909	2.3706	2.2645	2.1702	2.08	2.0052	1.9466	1.8794	1.8256	1.7734	1.7223
934	Less developed regions, excluding least developed countries	2.1017	1.9955	1.9249	1.8569	1.8109	1.7596	1.7304	1.7082	1.6811	1.6551	1.636	1.6279	1.6074	1.5957	1.5879	1.5775
948	Less developed regions, excluding China	2.5557	2.4038	2.2899	2.1898	2.1102	2.0429	1.9956	1.9421	1.8975	1.854	1.8181	1.7954	1.76	1.7333	1.7038	1.6765
1636	Land-locked Developing Countries (LLDC)	3.4969	3.1438	2.8725	2.6599	2.4885	2.3406	2.2081	2.0915	2.0089	1.9209	1.8496	1.7934	1.7408	1.6906	1.6521	1.6118
1637	Small Island Developing States (SIDS)	2.1933	2.0567	1.9662	1.8861	1.8273	1.7735	1.7399	1.6974	1.6678	1.6438	1.6185	1.601	1.5838	1.5646	1.5557	1.5281
1503	High-income countries	1.5737	1.5505	1.5424	1.5443	1.5408	1.5427	1.5475	1.5546	1.5544	1.556	1.5605	1.5598	1.56	1.5627	1.5594	1.5589
1517	Middle-income countries	2.1266	2.019	1.9489	1.8838	1.8427	1.7994	1.7717	1.7486	1.7222	1.7033	1.685	1.6729	1.6589	1.6456	1.6391	1.6196
1502	Upper-middle-income countries	1.7388	1.6676	1.6346	1.6052	1.5877	1.5795	1.5712	1.5649	1.559	1.5572	1.5532	1.5517	1.5512	1.5506	1.5418	1.5496
1501	Lower-middle-income countries	2.3795	2.2143	2.0986	2.0013	1.9244	1.8612	1.8093	1.7795	1.7445	1.7112	1.6878	1.6678	1.6484	1.6361	1.6239	1.6069
1500	Low-income countries	3.9905	3.5791	3.2496	2.9756	2.7501	2.5617	2.4037	2.2723	2.1661	2.062	1.9747	1.909	1.8353	1.7786	1.721	1.6745
1518	No income group available	2.1872	2.0405	1.9372	1.841	1.7578	1.7036	1.6512	1.619	1.5936	1.5689	1.5523	1.5324	1.5215	1.5241	1.5161	1.5153
910	Eastern Africa	3.8188	3.3809	3.0454	2.7751	2.5631	2.3876	2.2493	2.1193	2.0206	1.9205	1.8487	1.7821	1.7166	1.6606	1.6158	1.5774
108	Burundi	4.5894	3.9311	3.3075	2.8253	2.4464	2.1621	1.973	1.8143	1.6672	1.5676	1.4903	1.4178	1.3733	1.3281	1.289	1.2617
174	Comoros	3.4606	3.0104	2.6597	2.3814	2.1751	1.9993	1.8493	1.7266	1.6134	1.5196	1.439	1.3584	1.2994	1.2338	1.1935	1.1692
262	Djibouti	2.1074	1.8018	1.5858	1.4137	1.2832	1.1823	1.0839	1.0209	0.9875	0.9575	0.9296	0.9287	0.9374	0.9567	0.9694	0.994
232	Eritrea	3.2955	2.8364	2.4735	2.2068	2.0071	1.8451	1.7065	1.5979	1.5042	1.4158	1.3242	1.2693	1.2216	1.1883	1.146	1.1243
231	Ethiopia	3.3285	2.6957	2.2093	1.9074	1.7022	1.5445	1.4301	1.3217	1.2464	1.1819	1.1192	1.0827	1.0539	1.0232	1.0153	0.9996
404	Kenya	2.7842	2.3676	2.0808	1.8723	1.721	1.5765	1.476	1.3847	1.303	1.2186	1.1573	1.0925	1.0483	1.0153	0.9953	0.9939
450	Madagascar	3.3879	2.9799	2.6262	2.3443	2.1367	1.9601	1.8342	1.7137	1.6197	1.5368	1.4716	1.3967	1.3551	1.3128	1.2743	1.2269
454	Malawi	3.4389	2.9105	2.503	2.1959	1.9725	1.8059	1.6849	1.5774	1.4958	1.4298	1.3408	1.2816	1.2254	1.1764	1.139	1.1097
480	Mauritius	1.0538	0.9109	0.8172	0.7682	0.7458	0.7575	0.798	0.8647	0.9174	0.9727	1.0114	1.0397	1.0661	1.0897	1.1115	1.1274
175	Mayotte	2.9903	2.6256	2.3461	2.1191	1.9261	1.7511	1.6117	1.4871	1.3739	1.2835	1.192	1.1372	1.0687	1.0418	1.0288	1.0061
508	Mozambique	4.0881	3.4379	2.843	2.3624	2.0411	1.8194	1.671	1.5533	1.451	1.3683	1.3105	1.2682	1.2344	1.1984	1.1815	1.1649
638	Reunion	1.8213	1.6133	1.4689	1.348	1.2571	1.1859	1.1351	1.1172	1.126	1.13	1.1778	1.2233	1.2606	1.2882	1.3099	1.3213
646	Rwanda	3.2816	2.8513	2.5189	2.2497	2.0216	1.8306	1.658	1.4976	1.3686	1.2429	1.1485	1.0608	0.998	0.9559	0.9319	0.9196
690	Seychelles	2.0109	1.8003	1.6351	1.5088	1.4064	1.3405	1.2743	1.2479	1.2187	1.2104	1.211	1.2358	1.2586	1.2937	1.3212	1.3423
706	Somalia	5.262	4.5857	3.9611	3.4122	2.9339	2.563	2.2769	2.0635	1.8883	1.7635	1.6529	1.5607	1.4826	1.4192	1.3673	1.3131
728	South Sudan	3.9043	3.3232	2.8409	2.454	2.1937	1.9831	1.7982	1.6671	1.564	1.4942	1.4236	1.3511	1.2965	1.2553	1.2211	1.1939
800	Uganda	3.9246	3.0668	2.4347	2.031	1.7687	1.596	1.4709	1.3693	1.2774	1.1899	1.1454	1.0998	1.0593	1.0288	1.0036	0.9991
834	United Republic of Tanzania	4.2049	3.6959	3.2427	2.8566	2.5139	2.2764	2.0728	1.9273	1.8021	1.7102	1.6215	1.5417	1.4737	1.4202	1.3791	1.3688
894	Zambia	3.9367	3.4585	3.0475	2.6931	2.4254	2.2179	2.0538	1.912	1.7919	1.6843	1.6167	1.5477	1.5073	1.4666	1.406	1.3576
716	Zimbabwe	2.8943	2.5347	2.2575	2.0385	1.8507	1.697	1.5586	1.4357	1.309	1.2312	1.1685	1.1117	1.0775	1.0493	1.0364	1.0375
911	Middle Africa	4.8249	4.1572	3.5599	3.1178	2.81	2.5754	2.4042	2.2542	2.1321	2.0031	1.9262	1.8351	1.7647	1.6927	1.6267	1.5689
24	Angola	4.8087	4.2568	3.7215	3.2386	2.8396	2.5346	2.2842	2.1007	1.9547	1.8263	1.7261	1.6319	1.5686	1.5195	1.469	1.438
120	Cameroon	3.8512	3.3817	2.9883	2.6839	2.4128	2.223	2.0474	1.9113	1.8031	1.6913	1.6152	1.5293	1.4602	1.4037	1.356	1.3246
140	Central African Republic	3.9088	3.2094	2.5761	2.1111	1.8044	1.6187	1.4848	1.3749	1.3077	1.2386	1.1929	1.1552	1.1318	1.1216	1.0898	1.0863
