country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	WORLD	2.1676	1.9747	1.8307	1.7862	1.7524	1.7259	1.702	1.6737	1.644	1.6125	1.5844	1.56	1.5362	1.5131	1.4895	1.4664
901	More developed regions	1.398	1.2675	1.19	1.2055	1.2174	1.2305	1.243	1.2527	1.2579	1.2608	1.2637	1.2681	1.2736	1.278	1.2809	1.2822
902	Less developed regions	2.2762	2.07	1.9147	1.8587	1.8145	1.7791	1.7487	1.7159	1.6833	1.6489	1.6177	1.5899	1.5624	1.5364	1.5106	1.4858
941	Least developed countries	3.4966	3.1221	2.8289	2.6589	2.5145	2.3865	2.2734	2.174	2.0855	2.0042	1.9297	1.8613	1.7976	1.7393	1.6857	1.6365
934	Less developed regions, excluding least developed countries	2.0158	1.8195	1.6745	1.628	1.5928	1.5676	1.5485	1.526	1.504	1.48	1.4601	1.4445	1.4289	1.4149	1.4008	1.3875
948	Less developed regions, excluding China	2.4719	2.2262	2.0413	1.965	1.9042	1.8554	1.8128	1.7699	1.7302	1.6902	1.6543	1.6217	1.5898	1.5602	1.5313	1.5039
1636	Land-locked Developing Countries (LLDC)	3.4313	3.0222	2.7063	2.5247	2.3722	2.2349	2.1182	2.0162	1.9284	1.8481	1.7751	1.7122	1.6572	1.6068	1.5615	1.5218
1637	Small Island Developing States (SIDS)	2.1198	1.8954	1.7383	1.6879	1.648	1.6154	1.5859	1.5594	1.534	1.509	1.4814	1.4583	1.4342	1.4108	1.3899	1.37
1503	High-income countries	1.4221	1.2799	1.1945	1.2053	1.2143	1.2266	1.2376	1.245	1.2483	1.2502	1.2521	1.2558	1.2616	1.2663	1.2693	1.2703
1517	Middle-income countries	2.0398	1.8429	1.6979	1.6535	1.6217	1.5996	1.5832	1.5639	1.5449	1.5239	1.5066	1.4924	1.4774	1.4636	1.4492	1.4348
1502	Upper-middle-income countries	1.6168	1.4431	1.3285	1.3159	1.311	1.3084	1.3067	1.303	1.2981	1.2927	1.2892	1.2888	1.2883	1.2863	1.2838	1.2814
1501	Lower-middle-income countries	2.3478	2.1069	1.9275	1.8574	1.8022	1.7575	1.7208	1.6851	1.656	1.6265	1.6012	1.5781	1.5539	1.5329	1.5124	1.4925
1500	Low-income countries	3.9147	3.4487	3.0789	2.8475	2.6519	2.4812	2.3336	2.2057	2.0949	1.9968	1.9098	1.8332	1.7638	1.7012	1.6449	1.595
1518	No income group available	2.1334	1.9052	1.7362	1.6659	1.6044	1.5592	1.5211	1.4891	1.4614	1.4353	1.4094	1.3871	1.3681	1.3546	1.3426	1.332
903	Africa	3.9052	3.493	3.152	2.935	2.7451	2.576	2.4297	2.2999	2.186	2.0827	1.9913	1.91	1.8354	1.7684	1.7082	1.654
935	Asia	1.8421	1.643	1.4941	1.4442	1.4069	1.3806	1.3613	1.34	1.32	1.3001	1.2859	1.278	1.2716	1.2678	1.2635	1.2599
908	Europe	1.3675	1.2421	1.1697	1.1908	1.2057	1.2181	1.2292	1.2382	1.2452	1.2501	1.255	1.2589	1.2623	1.2661	1.2688	1.2718
904	Latin America and the Caribbean	1.7079	1.489	1.3366	1.2951	1.2677	1.2528	1.24	1.2312	1.2261	1.2218	1.2204	1.2208	1.2229	1.2247	1.2269	1.2298
905	Northern America	1.5048	1.3605	1.2668	1.2719	1.2758	1.282	1.2874	1.2931	1.2967	1.2989	1.2986	1.3007	1.3046	1.3064	1.3076	1.3076
909	Oceania	2.0439	1.8381	1.6874	1.6399	1.6073	1.5835	1.5605	1.5361	1.5059	1.4763	1.4475	1.4248	1.4016	1.3787	1.3597	1.3411
947	SUB-SAHARAN AFRICA	4.1462	3.6939	3.3182	3.0723	2.8596	2.6707	2.5076	2.3628	2.2378	2.127	2.0299	1.9432	1.8633	1.7922	1.7288	1.6718
910	Eastern Africa	3.8203	3.348	2.9709	2.7377	2.5503	2.3903	2.2525	2.1337	2.032	1.942	1.8629	1.7932	1.7319	1.6756	1.6268	1.5834
911	Middle Africa	4.8671	4.3217	3.8568	3.5227	3.2317	2.9723	2.7523	2.5672	2.4093	2.2734	2.1569	2.0524	1.9542	1.8733	1.8	1.7346
913	Southern Africa	2.1332	1.8843	1.696	1.6224	1.5532	1.4991	1.4537	1.4138	1.3826	1.3554	1.3351	1.3196	1.3048	1.295	1.2885	1.2822
914	Western Africa	4.6008	4.134	3.7314	3.4535	3.2006	2.9705	2.7723	2.591	2.4351	2.2971	2.177	2.0706	1.9727	1.8848	1.8065	1.7363
1833	NORTHERN AFRICA AND WESTERN ASIA	2.5246	2.2429	2.0347	1.9398	1.8539	1.7832	1.7254	1.6788	1.633	1.586	1.5436	1.5097	1.4822	1.4552	1.4295	1.4071
912	Northern Africa	2.8141	2.5087	2.2843	2.1742	2.0691	1.9779	1.9032	1.8481	1.7941	1.7347	1.6765	1.6281	1.5886	1.551	1.515	1.4834
922	Western Asia	2.2698	2.0066	1.8048	1.7154	1.6417	1.5851	1.5377	1.4938	1.4511	1.4129	1.3845	1.3637	1.3471	1.3301	1.3148	1.3018
921	CENTRAL AND SOUTHERN ASIA	2.0368	1.7814	1.595	1.5208	1.4618	1.4162	1.3824	1.3512	1.3277	1.3035	1.2854	1.2736	1.263	1.2584	1.2531	1.2491
5500	Central Asia	2.3679	2.0888	1.8795	1.7984	1.7388	1.6829	1.6323	1.5823	1.5361	1.4917	1.4589	1.4355	1.4163	1.3928	1.366	1.3454
5501	Southern Asia	2.0255	1.7701	1.5824	1.5075	1.4494	1.4047	1.3707	1.3389	1.3158	1.2929	1.2759	1.2644	1.2536	1.2498	1.2457	1.2428
1832	EASTERN AND SOUTH-EASTERN ASIA	1.5658	1.4137	1.3121	1.3033	1.2995	1.2939	1.2879	1.2815	1.2755	1.2703	1.2662	1.2655	1.2655	1.2645	1.2637	1.2635
906	Eastern Asia	1.4081	1.2772	1.1991	1.2103	1.2222	1.2303	1.2373	1.2422	1.2474	1.2516	1.2514	1.254	1.2574	1.2602	1.2623	1.2634
920	South-Eastern Asia	1.8913	1.6782	1.5104	1.4568	1.4185	1.3872	1.3597	1.3353	1.3141	1.2973	1.2874	1.2809	1.2754	1.2696	1.2658	1.2644
1830	LATIN AMERICA AND THE CARIBBEAN	1.7079	1.489	1.3366	1.2951	1.2677	1.2528	1.24	1.2312	1.2261	1.2218	1.2204	1.2208	1.2229	1.2247	1.2269	1.2298
915	Caribbean	1.8643	1.6336	1.4777	1.4336	1.3973	1.3654	1.3374	1.3148	1.2971	1.2832	1.2685	1.26	1.254	1.2497	1.2471	1.245
916	Central America	1.8649	1.6142	1.4347	1.3726	1.3278	1.2967	1.2718	1.2559	1.2476	1.2412	1.2362	1.2353	1.2344	1.2349	1.2354	1.2385
931	South America	1.6213	1.4154	1.2743	1.2421	1.2241	1.2183	1.2122	1.2084	1.2067	1.205	1.2076	1.21	1.2143	1.2171	1.2205	1.224
927	AUSTRALIA/NEW ZEALAND	1.5455	1.3676	1.2515	1.2359	1.2263	1.2217	1.2215	1.2238	1.2233	1.2244	1.2269	1.2299	1.2337	1.2346	1.2388	1.2407
